MeasurementID,DateID,TimeID,Datetime,ReadingID,CO_Concentration,NMHC_Concentration,Benzene_Concentration,NOx_Concentration,NO2_Concentration,Temperature,Relative_Humidity,Absolute_Humidity,Day,Month,Year,Hour,Minute,Second,PT08_S1,PT08_S2,PT08_S3,PT08_S4,PT08_S5
1699,1699,1699,20/05/2004 12:00,1699,2,-200,12,121,108,30.3,23.3,0.9869,20,5,2004,12,0,0,1218,1051,796,1689,881
1700,1700,1700,20/05/2004 13:00,1700,2,-200,13.3,111,107,31.3,22.3,1.0043,20,5,2004,13,0,0,1235,1094,756,1729,907
1701,1701,1701,20/05/2004 14:00,1701,1.9,-200,12.3,116,120,31.1,22.3,0.9888,20,5,2004,14,0,0,1196,1061,791,1649,899
1702,1702,1702,20/05/2004 15:00,1702,2.7,-200,16,167,150,32.4,20.4,0.9732,20,5,2004,15,0,0,1288,1179,717,1799,1074
1703,1703,1703,20/05/2004 16:00,1703,2.2,-200,13.7,145,138,32.6,19.3,0.935,20,5,2004,16,0,0,1248,1108,772,1701,969
1704,1704,1704,20/05/2004 17:00,1704,3.5,-200,21.7,192,148,31.2,20.3,0.9064,20,5,2004,17,0,0,1401,1342,663,1959,1267
1705,1705,1705,20/05/2004 18:00,1705,4.1,-200,23.7,231,168,27.7,24.8,0.9106,20,5,2004,18,0,0,1401,1396,645,2009,1402
1706,1706,1706,20/05/2004 19:00,1706,4.4,-200,22.1,248,172,25.7,27.9,0.908,20,5,2004,19,0,0,1444,1354,655,1956,1437
1707,1707,1707,20/05/2004 20:00,1707,4.5,-200,20.6,267,179,24.1,29.9,0.8879,20,5,2004,20,0,0,1379,1312,683,1870,1382
1708,1708,1708,20/05/2004 21:00,1708,2.9,-200,13.4,181,143,22.2,34.4,0.9072,20,5,2004,21,0,0,1251,1097,771,1680,1280
1709,1709,1709,20/05/2004 22:00,1709,2.6,-200,12.8,163,137,20.7,38,0.9149,20,5,2004,22,0,0,1269,1077,773,1706,1250
1710,1710,1710,20/05/2004 23:00,1710,2.1,-200,12.3,141,117,20.2,42.8,0.9983,20,5,2004,23,0,0,1242,1060,745,1693,1359
1711,1711,1711,21/05/2004 0:00,1711,1.2,-200,6.8,78,93,20.5,42,1.0004,21,5,2004,0,0,0,1045,850,889,1506,1102
1712,1712,1712,21/05/2004 1:00,1712,0.6,-200,3.8,42,64,20.1,42,0.9763,21,5,2004,1,0,0,937,698,1039,1382,768
1713,1713,1713,21/05/2004 2:00,1713,0.3,-200,2.5,35,58,20,41.5,0.9571,21,5,2004,2,0,0,875,622,1167,1331,656
1714,1714,1714,21/05/2004 3:00,1714,0.3,-200,2.7,-200,-200,16.3,51.6,0.9461,21,5,2004,3,0,0,889,633,1123,1344,683
1715,1715,1715,21/05/2004 4:00,1715,-200,-200,2.8,33,47,16.5,50.2,0.932,21,5,2004,4,0,0,888,640,1089,1330,670
1716,1716,1716,21/05/2004 5:00,1716,0.3,-200,2.6,38,47,16.4,50.2,0.931,21,5,2004,5,0,0,881,624,1135,1319,656
1717,1717,1717,21/05/2004 6:00,1717,0.7,-200,7,65,62,14.9,54.7,0.9203,21,5,2004,6,0,0,998,856,894,1488,926
1718,1718,1718,21/05/2004 7:00,1718,4.2,-200,26.2,296,113,16.4,51.3,0.9474,21,5,2004,7,0,0,1517,1460,551,2205,1677
1719,1719,1719,21/05/2004 8:00,1719,4.8,-200,28.2,303,126,18.2,46.2,0.9575,21,5,2004,8,0,0,1522,1509,543,2275,1828
1720,1720,1720,21/05/2004 9:00,1720,3.4,-200,20.2,244,139,20.7,40,0.9639,21,5,2004,9,0,0,1417,1303,635,1964,1752
1721,1721,1721,21/05/2004 10:00,1721,2.8,-200,17.1,216,148,26.5,27,0.9217,21,5,2004,10,0,0,1329,1214,700,1845,1581
1722,1722,1722,21/05/2004 11:00,1722,1.8,-200,11.2,137,117,28.5,23.8,0.915,21,5,2004,11,0,0,1203,1023,825,1622,1132
1723,1723,1723,21/05/2004 12:00,1723,1.9,-200,11.6,120,106,29.7,23.7,0.9714,21,5,2004,12,0,0,1234,1037,788,1658,1037
1724,1724,1724,21/05/2004 13:00,1724,2,-200,13.2,100,98,31.7,21.7,0.9966,21,5,2004,13,0,0,1286,1090,750,1719,1023
1725,1725,1725,21/05/2004 14:00,1725,1.9,-200,12.7,103,98,31.7,21.5,0.9902,21,5,2004,14,0,0,1298,1075,749,1690,1022
1726,1726,1726,21/05/2004 15:00,1726,2,-200,13,123,110,32.8,19.5,0.9515,21,5,2004,15,0,0,1308,1084,757,1724,989
1727,1727,1727,21/05/2004 16:00,1727,2.3,-200,13.5,136,114,32.5,18.6,0.8948,21,5,2004,16,0,0,1276,1099,783,1680,925
1728,1728,1728,21/05/2004 17:00,1728,2.7,-200,10.2,158,122,30.2,22.6,0.9524,21,5,2004,17,0,0,1234,985,815,1572,795
1729,1729,1729,21/05/2004 18:00,1729,3.6,-200,20.1,216,155,27.6,25.7,0.9382,21,5,2004,18,0,0,1419,1300,670,1923,1263
1730,1730,1730,21/05/2004 19:00,1730,3.8,-200,19.1,211,145,25.9,24.9,0.8195,21,5,2004,19,0,0,1325,1273,716,1815,1184
1731,1731,1731,21/05/2004 20:00,1731,3.5,-200,17.5,202,146,23.9,29.4,0.8589,21,5,2004,20,0,0,1346,1224,715,1794,1272
1732,1732,1732,21/05/2004 21:00,1732,2.5,-200,13.8,147,130,22.3,32.1,0.8515,21,5,2004,21,0,0,1241,1110,772,1698,1177
1733,1733,1733,21/05/2004 22:00,1733,2.5,-200,13.3,160,126,20.5,35.9,0.8565,21,5,2004,22,0,0,1274,1094,771,1682,1231
1734,1734,1734,21/05/2004 23:00,1734,3,-200,14.8,162,127,19.8,37.2,0.8509,21,5,2004,23,0,0,1321,1144,732,1745,1243
1735,1735,1735,22/05/2004 0:00,1735,3.7,-200,18,194,126,19.1,41.9,0.9158,22,5,2004,0,0,0,1424,1240,662,1841,1427
1736,1736,1736,22/05/2004 1:00,1736,3.3,-200,16,167,124,17.8,46.1,0.9344,22,5,2004,1,0,0,1357,1178,674,1782,1454
1737,1737,1737,22/05/2004 2:00,1737,1.5,-200,9.7,91,93,17.6,47.6,0.9465,22,5,2004,2,0,0,1123,966,770,1594,1183
1738,1738,1738,22/05/2004 3:00,1738,0.7,-200,6.2,-200,-200,17.9,46.3,0.9394,22,5,2004,3,0,0,1003,820,902,1455,908
1739,1739,1739,22/05/2004 4:00,1739,-200,-200,4,42,58,16.9,49.8,0.9544,22,5,2004,4,0,0,951,713,994,1385,821
1740,1740,1740,22/05/2004 5:00,1740,0.5,-200,3.6,50,59,15.8,53.8,0.9615,22,5,2004,5,0,0,941,687,1024,1374,777
1741,1741,1741,22/05/2004 6:00,1741,0.5,-200,4.6,61,66,16.5,53.5,0.9928,22,5,2004,6,0,0,986,745,959,1426,888
1742,1742,1742,22/05/2004 7:00,1742,1.2,-200,9.2,107,80,17.2,52.9,1.0276,22,5,2004,7,0,0,1153,947,795,1643,1076
1743,1743,1743,22/05/2004 8:00,1743,2.2,-200,14.6,139,94,19.3,48.3,1.0723,22,5,2004,8,0,0,1323,1137,696,1846,1285
1744,1744,1744,22/05/2004 9:00,1744,2.2,-200,11.7,165,102,20.6,47.1,1.1287,22,5,2004,9,0,0,1315,1040,743,1740,1315
1745,1745,1745,22/05/2004 10:00,1745,2.1,-200,11,139,96,23.7,40,1.153,22,5,2004,10,0,0,1303,1015,777,1731,1250
1746,1746,1746,22/05/2004 11:00,1746,1.8,-200,11.6,113,91,25.6,32.5,1.053,22,5,2004,11,0,0,1238,1037,813,1698,978
1747,1747,1747,22/05/2004 12:00,1747,2.2,-200,12.9,138,104,27.2,28.1,0.9989,22,5,2004,12,0,0,1259,1080,772,1736,1072
1748,1748,1748,22/05/2004 13:00,1748,2,-200,12.6,104,84,27.9,28.1,1.0394,22,5,2004,13,0,0,1246,1070,770,1747,1064
1749,1749,1749,22/05/2004 14:00,1749,1.4,-200,8.3,78,76,28.3,27.8,1.0539,22,5,2004,14,0,0,1154,912,872,1605,825
1750,1750,1750,22/05/2004 15:00,1750,1.8,-200,10.5,97,87,29.2,27,1.081,22,5,2004,15,0,0,1237,997,800,1688,924
1751,1751,1751,22/05/2004 16:00,1751,2.1,-200,11.7,115,101,28.9,29.3,1.1503,22,5,2004,16,0,0,1315,1041,773,1767,966
1752,1752,1752,22/05/2004 17:00,1752,2.8,-200,15.8,152,115,25.4,39.8,1.2771,22,5,2004,17,0,0,1466,1174,680,1965,1302
1753,1753,1753,22/05/2004 18:00,1753,2.8,-200,13.9,157,110,25.2,40.1,1.2642,22,5,2004,18,0,0,1409,1113,710,1850,1256
1754,1754,1754,22/05/2004 19:00,1754,2.7,-200,15.7,132,103,24.5,39.4,1.1963,22,5,2004,19,0,0,1366,1171,693,1933,1068
1755,1755,1755,22/05/2004 20:00,1755,1.8,-200,10.9,98,90,22.3,45.4,1.2088,22,5,2004,20,0,0,1241,1011,781,1748,1070
1756,1756,1756,22/05/2004 21:00,1756,1.2,-200,6.4,65,68,21.2,48.3,1.2034,22,5,2004,21,0,0,1123,832,930,1565,792
1757,1757,1757,22/05/2004 22:00,1757,2.6,-200,12.7,101,85,20.6,50.5,1.2082,22,5,2004,22,0,0,1321,1075,757,1891,1017
1758,1758,1758,22/05/2004 23:00,1758,3.1,-200,15.3,134,100,20.2,52.9,1.234,22,5,2004,23,0,0,1397,1159,681,1949,1207
1759,1759,1759,23/05/2004 0:00,1759,4.1,-200,20.5,177,114,19.8,54.5,1.2488,23,5,2004,0,0,0,1507,1311,608,2107,1499
1760,1760,1760,23/05/2004 1:00,1760,3.6,-200,15.9,179,108,19.5,56.2,1.2624,23,5,2004,1,0,0,1405,1177,660,1931,1474
1761,1761,1761,23/05/2004 2:00,1761,1.9,-200,10.4,105,78,19,58,1.2581,23,5,2004,2,0,0,1192,994,759,1780,1163
1762,1762,1762,23/05/2004 3:00,1762,1.9,-200,12.6,-200,-200,18.1,61.6,1.2679,23,5,2004,3,0,0,1199,1070,671,1873,1189
1763,1763,1763,23/05/2004 4:00,1763,-200,-200,4.9,49,55,18,57.6,1.1788,23,5,2004,4,0,0,973,761,954,1501,815
1764,1764,1764,23/05/2004 5:00,1764,0.3,-200,2.1,27,37,17.7,56,1.1215,23,5,2004,5,0,0,864,591,1247,1374,507
1765,1765,1765,23/05/2004 6:00,1765,0.4,-200,2.2,41,53,17.9,52.4,1.0655,23,5,2004,6,0,0,886,598,1257,1374,506
1766,1766,1766,23/05/2004 7:00,1766,0.8,-200,4,78,79,18.9,49.3,1.0668,23,5,2004,7,0,0,988,713,1092,1455,716
1767,1767,1767,23/05/2004 8:00,1767,0.8,-200,4.3,68,65,20,48.6,1.1199,23,5,2004,8,0,0,1008,729,1034,1490,795
1768,1768,1768,23/05/2004 9:00,1768,0.8,-200,3.8,64,64,20.6,41.2,0.9841,23,5,2004,9,0,0,976,698,1156,1393,594
1769,1769,1769,23/05/2004 10:00,1769,0.8,-200,4.1,67,66,23.6,34,0.9749,23,5,2004,10,0,0,978,718,1137,1392,565
1770,1770,1770,23/05/2004 11:00,1770,0.9,-200,4.5,54,53,26.7,28.1,0.9688,23,5,2004,11,0,0,987,740,1105,1407,523
1771,1771,1771,23/05/2004 12:00,1771,1.2,-200,5.3,67,69,26.8,28.1,0.9785,23,5,2004,12,0,0,1030,778,1071,1452,591
1772,1772,1772,23/05/2004 13:00,1772,1,-200,4.2,51,57,27.7,25.8,0.9467,23,5,2004,13,0,0,955,723,1129,1393,559
1773,1773,1773,23/05/2004 14:00,1773,0.8,-200,3.3,28,36,28.8,22.7,0.8864,23,5,2004,14,0,0,924,673,1247,1346,430
1774,1774,1774,23/05/2004 15:00,1774,1.1,-200,4.9,51,57,26.8,27.3,0.9462,23,5,2004,15,0,0,1005,758,1091,1434,522
1775,1775,1775,23/05/2004 16:00,1775,1.5,-200,6.1,77,73,25.9,28.7,0.9423,23,5,2004,16,0,0,1059,816,1023,1468,641
1776,1776,1776,23/05/2004 17:00,1776,1.5,-200,6.9,93,81,25.8,27.7,0.9076,23,5,2004,17,0,0,1079,851,991,1490,738
1777,1777,1777,23/05/2004 18:00,1777,1.4,-200,6.8,94,91,24.8,29.5,0.9077,23,5,2004,18,0,0,1070,850,997,1502,778
1778,1778,1778,23/05/2004 19:00,1778,1.1,-200,5.8,69,65,25.3,36.3,1.1513,23,5,2004,19,0,0,1085,805,972,1528,718
1779,1779,1779,23/05/2004 20:00,1779,0.9,-200,5.5,57,56,23.9,40.4,1.1787,23,5,2004,20,0,0,1066,787,986,1552,689
1780,1780,1780,23/05/2004 21:00,1780,1,-200,6.1,74,69,21.4,46.6,1.1764,23,5,2004,21,0,0,1094,815,934,1563,852
1781,1781,1781,23/05/2004 22:00,1781,1.1,-200,6,75,73,20.5,49.3,1.173,23,5,2004,22,0,0,1110,814,948,1571,854
1782,1782,1782,23/05/2004 23:00,1782,1,-200,4.2,73,76,19.2,42.3,0.9339,23,5,2004,23,0,0,968,719,1081,1388,664
1783,1783,1783,24/05/2004 0:00,1783,0.7,-200,4.1,56,67,19.2,37.9,0.8352,24,5,2004,0,0,0,906,714,1163,1351,544
1784,1784,1784,24/05/2004 1:00,1784,0.5,-200,2.4,31,44,17.2,43.1,0.8394,24,5,2004,1,0,0,849,615,1285,1276,461
1785,1785,1785,24/05/2004 2:00,1785,0.2,-200,1,13,21,15.8,45.2,0.8052,24,5,2004,2,0,0,774,500,1536,1169,352
1786,1786,1786,24/05/2004 3:00,1786,-200,-200,0.6,-200,-200,15.7,42.3,0.7464,24,5,2004,3,0,0,746,450,1807,1111,308
1787,1787,1787,24/05/2004 4:00,1787,-200,-200,0.5,14,19,16.3,41,0.7513,24,5,2004,4,0,0,753,437,1904,1110,301
1788,1788,1788,24/05/2004 5:00,1788,0.1,-200,0.7,23,29,16.1,36.5,0.664,24,5,2004,5,0,0,749,466,1803,1089,307
1789,1789,1789,24/05/2004 6:00,1789,0.5,-200,2.8,72,69,16.5,36.2,0.6752,24,5,2004,6,0,0,864,642,1288,1255,441
1790,1790,1790,24/05/2004 7:00,1790,1.6,-200,7.8,165,111,17.5,30.9,0.6111,24,5,2004,7,0,0,1002,893,1010,1394,775
1791,1791,1791,24/05/2004 8:00,1791,2,-200,9.7,118,81,18.4,24,0.5046,24,5,2004,8,0,0,970,966,944,1379,907
1792,1792,1792,24/05/2004 9:00,1792,1.3,-200,6.9,85,56,19.2,23.8,0.5235,24,5,2004,9,0,0,898,853,1066,1271,763
1793,1793,1793,24/05/2004 10:00,1793,1,-200,5.8,116,90,21.7,18.1,0.4642,24,5,2004,10,0,0,847,800,1155,1179,649
1794,1794,1794,24/05/2004 11:00,1794,0.9,-200,5.5,112,85,22.3,17,0.4513,24,5,2004,11,0,0,847,788,1203,1162,598
1795,1795,1795,24/05/2004 12:00,1795,1.2,-200,6.8,100,83,22.8,16.1,0.4404,24,5,2004,12,0,0,871,848,1139,1208,579
1796,1796,1796,24/05/2004 13:00,1796,1.3,-200,7.2,109,85,23.8,14.5,0.4222,24,5,2004,13,0,0,869,866,1107,1212,596
1797,1797,1797,24/05/2004 14:00,1797,1.1,-200,6.9,111,85,25.1,13.1,0.4129,24,5,2004,14,0,0,875,854,1160,1200,595
1798,1798,1798,24/05/2004 15:00,1798,1.2,-200,7.5,109,81,25.8,12.9,0.4219,24,5,2004,15,0,0,895,878,1122,1238,607
1799,1799,1799,24/05/2004 16:00,1799,1.4,-200,7.7,114,92,25.5,14,0.4495,24,5,2004,16,0,0,926,885,1101,1259,662
1800,1800,1800,24/05/2004 17:00,1800,2,-200,12,139,108,24.5,15.4,0.4663,24,5,2004,17,0,0,996,1048,959,1397,822
1801,1801,1801,24/05/2004 18:00,1801,2.4,-200,13.5,157,106,22.6,17.2,0.4656,24,5,2004,18,0,0,997,1100,896,1392,987
1802,1802,1802,24/05/2004 19:00,1802,2.1,-200,12,147,114,21.2,18.9,0.471,24,5,2004,19,0,0,1006,1048,925,1416,966
1803,1803,1803,24/05/2004 20:00,1803,1.2,-200,6.7,102,96,19.1,22.8,0.501,24,5,2004,20,0,0,895,845,1072,1241,763
1804,1804,1804,24/05/2004 21:00,1804,0.7,-200,4.8,73,77,18.4,24.6,0.5169,24,5,2004,21,0,0,862,751,1154,1213,617
1805,1805,1805,24/05/2004 22:00,1805,0.7,-200,4.8,65,73,17.3,25.6,0.5032,24,5,2004,22,0,0,858,756,1159,1209,564
1806,1806,1806,24/05/2004 23:00,1806,0.8,-200,5,76,86,16.5,24.9,0.4642,24,5,2004,23,0,0,853,762,1134,1184,646
1807,1807,1807,25/05/2004 0:00,1807,0.5,-200,4.3,65,84,16.7,28.3,0.5316,25,5,2004,0,0,0,859,727,1120,1187,753
1808,1808,1808,25/05/2004 1:00,1808,0.2,-200,2.7,41,56,15.5,32.2,0.5641,25,5,2004,1,0,0,837,634,1200,1150,669
1809,1809,1809,25/05/2004 2:00,1809,-200,-200,0.9,17,31,17.5,29.1,0.5773,25,5,2004,2,0,0,746,493,1522,1063,435
1810,1810,1810,25/05/2004 3:00,1810,-200,-200,1.2,-200,-200,13.3,35.6,0.5393,25,5,2004,3,0,0,752,515,1472,1068,436
1811,1811,1811,25/05/2004 4:00,1811,-200,-200,0.9,19,30,14,33.7,0.5355,25,5,2004,4,0,0,742,489,1559,1048,403
1812,1812,1812,25/05/2004 5:00,1812,0.1,-200,1.7,45,51,11.6,40,0.5462,25,5,2004,5,0,0,774,560,1386,1107,532
1813,1813,1813,25/05/2004 6:00,1813,0.2,-200,2.6,40,45,13.4,34.5,0.5272,25,5,2004,6,0,0,798,630,1291,1125,536
1814,1814,1814,25/05/2004 7:00,1814,1.1,-200,8.8,101,82,15.2,31,0.5329,25,5,2004,7,0,0,1002,932,949,1405,917
1815,1815,1815,25/05/2004 8:00,1815,3,-200,22.2,183,100,16.3,27.5,0.5066,25,5,2004,8,0,0,1210,1356,657,1786,1481
1816,1816,1816,25/05/2004 9:00,1816,2.1,-200,15.3,149,91,19.2,20,0.439,25,5,2004,9,0,0,1058,1158,820,1459,1187
1817,1817,1817,25/05/2004 10:00,1817,2.6,-200,14,207,130,24.9,13,0.4038,25,5,2004,10,0,0,1106,1118,885,1451,1220
1818,1818,1818,25/05/2004 11:00,1818,3.2,-200,18.5,289,155,28.3,9.9,0.3754,25,5,2004,11,0,0,1153,1253,815,1541,1381
1819,1819,1819,25/05/2004 12:00,1819,2.1,-200,13.5,159,114,29.2,9.8,0.3914,25,5,2004,12,0,0,1047,1101,913,1391,1103
1820,1820,1820,25/05/2004 13:00,1820,2.2,-200,15.8,162,127,31.6,9.2,0.419,25,5,2004,13,0,0,1091,1172,874,1459,1105
1821,1821,1821,25/05/2004 14:00,1821,2.4,-200,18.5,173,138,32.6,9.3,0.4499,25,5,2004,14,0,0,1162,1253,796,1595,1248
1822,1822,1822,25/05/2004 15:00,1822,-200,-200,12.6,-200,-200,32.6,9.2,0.4463,25,5,2004,15,0,0,1059,1070,925,1401,976
1823,1823,1823,25/05/2004 16:00,1823,-200,-200,12,-200,-200,32.3,10,0.4747,25,5,2004,16,0,0,1083,1051,939,1390,898
1824,1824,1824,25/05/2004 17:00,1824,-200,-200,15.4,-200,-200,32.1,10.7,0.4996,25,5,2004,17,0,0,1150,1161,867,1512,1038
1825,1825,1825,25/05/2004 18:00,1825,-200,-200,24.9,-200,-200,29.7,12.2,0.5007,25,5,2004,18,0,0,1321,1426,720,1859,1395
1826,1826,1826,25/05/2004 19:00,1826,-200,-200,-200,-200,-200,-200,-200,-200,25,5,2004,19,0,0,-200,-200,-200,-200,-200
1827,1827,1827,25/05/2004 20:00,1827,-200,-200,-200,-200,-200,-200,-200,-200,25,5,2004,20,0,0,-200,-200,-200,-200,-200
1828,1828,1828,25/05/2004 21:00,1828,-200,-200,-200,-200,-200,-200,-200,-200,25,5,2004,21,0,0,-200,-200,-200,-200,-200
1829,1829,1829,25/05/2004 22:00,1829,-200,-200,-200,-200,-200,-200,-200,-200,25,5,2004,22,0,0,-200,-200,-200,-200,-200
1830,1830,1830,25/05/2004 23:00,1830,-200,-200,-200,-200,-200,-200,-200,-200,25,5,2004,23,0,0,-200,-200,-200,-200,-200
1831,1831,1831,26/05/2004 0:00,1831,-200,-200,-200,-200,-200,-200,-200,-200,26,5,2004,0,0,0,-200,-200,-200,-200,-200
1832,1832,1832,26/05/2004 1:00,1832,-200,-200,-200,-200,-200,-200,-200,-200,26,5,2004,1,0,0,-200,-200,-200,-200,-200
1833,1833,1833,26/05/2004 2:00,1833,-200,-200,-200,-200,-200,-200,-200,-200,26,5,2004,2,0,0,-200,-200,-200,-200,-200
1834,1834,1834,26/05/2004 3:00,1834,-200,-200,-200,-200,-200,-200,-200,-200,26,5,2004,3,0,0,-200,-200,-200,-200,-200
1835,1835,1835,26/05/2004 4:00,1835,-200,-200,-200,-200,-200,-200,-200,-200,26,5,2004,4,0,0,-200,-200,-200,-200,-200
1836,1836,1836,26/05/2004 5:00,1836,-200,-200,-200,-200,-200,-200,-200,-200,26,5,2004,5,0,0,-200,-200,-200,-200,-200
1837,1837,1837,26/05/2004 6:00,1837,-200,-200,-200,-200,-200,-200,-200,-200,26,5,2004,6,0,0,-200,-200,-200,-200,-200
1838,1838,1838,26/05/2004 7:00,1838,-200,-200,-200,-200,-200,-200,-200,-200,26,5,2004,7,0,0,-200,-200,-200,-200,-200
1839,1839,1839,26/05/2004 8:00,1839,-200,-200,-200,-200,-200,-200,-200,-200,26,5,2004,8,0,0,-200,-200,-200,-200,-200
1840,1840,1840,26/05/2004 9:00,1840,4,-200,40.2,-200,-200,20.4,35.7,0.844,26,5,2004,9,0,0,1303,1776,946,1467,1608
1841,1841,1841,26/05/2004 10:00,1841,2.2,-200,14.9,188,136,26.1,23.8,0.7938,26,5,2004,10,0,0,1137,1146,1144,1392,1327
1842,1842,1842,26/05/2004 11:00,1842,1.8,-200,13.8,159,135,28.8,21.1,0.8193,26,5,2004,11,0,0,1139,1109,1118,1436,1292
1843,1843,1843,26/05/2004 12:00,1843,1.6,-200,12.3,146,115,29.6,19.4,0.7897,26,5,2004,12,0,0,1099,1059,1156,1416,1114
1844,1844,1844,26/05/2004 13:00,1844,1.8,-200,14,127,112,31.6,16.4,0.7489,26,5,2004,13,0,0,1088,1116,1128,1449,1060
1845,1845,1845,26/05/2004 14:00,1845,1.6,-200,11.8,128,112,32.3,13.3,0.6303,26,5,2004,14,0,0,1027,1041,1237,1345,915
1846,1846,1846,26/05/2004 15:00,1846,1.6,-200,12,120,109,31.8,13.5,0.6249,26,5,2004,15,0,0,1014,1049,1200,1366,893
1847,1847,1847,26/05/2004 16:00,1847,1.3,-200,9.7,115,112,31.8,13.8,0.6394,26,5,2004,16,0,0,969,968,1276,1325,768
1848,1848,1848,26/05/2004 17:00,1848,-200,-200,18,-200,-200,31,15.9,0.7039,26,5,2004,17,0,0,1120,1238,1023,1591,1126
1849,1849,1849,26/05/2004 18:00,1849,-200,-200,22.6,-200,-200,28.6,18.7,0.7216,26,5,2004,18,0,0,1131,1368,933,1707,1284
1850,1850,1850,26/05/2004 19:00,1850,-200,-200,22.7,-200,-200,26.7,19.5,0.6754,26,5,2004,19,0,0,1130,1368,933,1709,1269
1851,1851,1851,26/05/2004 20:00,1851,-200,-200,20.3,-200,-200,25,24.4,0.7616,26,5,2004,20,0,0,1123,1304,939,1720,1290
1852,1852,1852,26/05/2004 21:00,1852,-200,-200,13.1,-200,-200,22.8,28.4,0.7804,26,5,2004,21,0,0,1069,1086,1064,1536,1119
1853,1853,1853,26/05/2004 22:00,1853,-200,-200,10.9,-200,-200,21.7,29.2,0.7458,26,5,2004,22,0,0,1021,1010,1116,1480,1027
1854,1854,1854,26/05/2004 23:00,1854,-200,-200,13.3,-200,-200,21.1,30.9,0.7617,26,5,2004,23,0,0,1101,1093,1012,1564,1155
1855,1855,1855,27/05/2004 0:00,1855,-200,-200,9.5,-200,-200,19.9,36.3,0.8349,27,5,2004,0,0,0,1026,960,1072,1471,1078
1856,1856,1856,27/05/2004 1:00,1856,-200,-200,6.6,-200,-200,18.6,39.3,0.8355,27,5,2004,1,0,0,949,841,1155,1393,954
1857,1857,1857,27/05/2004 2:00,1857,-200,-200,3.6,-200,-200,18.6,38.8,0.8228,27,5,2004,2,0,0,846,687,1295,1288,726
1858,1858,1858,27/05/2004 3:00,1858,-200,-200,2.3,-200,-200,19,38.9,0.8468,27,5,2004,3,0,0,811,606,1417,1248,656
1859,1859,1859,27/05/2004 4:00,1859,-200,-200,2,-200,-200,18,40.9,0.8394,27,5,2004,4,0,0,803,586,1442,1232,573
1860,1860,1860,27/05/2004 5:00,1860,-200,-200,4.1,-200,-200,15.5,48.6,0.8505,27,5,2004,5,0,0,882,715,1246,1367,780
1861,1861,1861,27/05/2004 6:00,1861,-200,-200,6.5,-200,-200,16,47.9,0.8659,27,5,2004,6,0,0,963,836,1085,1429,920
1862,1862,1862,27/05/2004 7:00,1862,-200,-200,24.8,-200,-200,17,46,0.883,27,5,2004,7,0,0,1413,1424,739,2102,1544
1863,1863,1863,27/05/2004 8:00,1863,-200,-200,34.4,-200,-200,19,41.6,0.9039,27,5,2004,8,0,0,1485,1650,632,2337,1789
1864,1864,1864,27/05/2004 9:00,1864,-200,-200,24.5,-200,-200,21.8,35,0.9002,27,5,2004,9,0,0,1354,1418,749,2043,1629
1865,1865,1865,27/05/2004 10:00,1865,-200,-200,9,-200,-200,25.6,28,0.9088,27,5,2004,10,0,0,1074,939,1071,1513,997
1866,1866,1866,27/05/2004 11:00,1866,-200,-200,8.4,-200,-200,26.4,23.1,0.7853,27,5,2004,11,0,0,1022,914,1132,1446,847
1867,1867,1867,27/05/2004 12:00,1867,-200,-200,11.5,-200,-200,27.1,24.2,0.856,27,5,2004,12,0,0,1100,1034,995,1586,958
1868,1868,1868,27/05/2004 13:00,1868,-200,-200,12.1,-200,-200,27.5,20.9,0.7565,27,5,2004,13,0,0,1073,1052,1009,1574,854
1869,1869,1869,27/05/2004 14:00,1869,-200,-200,10.1,-200,-200,29.5,19.7,0.8015,27,5,2004,14,0,0,1049,983,1071,1515,782
1870,1870,1870,27/05/2004 15:00,1870,-200,-200,11.9,-200,-200,30.6,18.6,0.8014,27,5,2004,15,0,0,1086,1048,1016,1580,888
1871,1871,1871,27/05/2004 16:00,1871,-200,-200,11.3,-200,-200,31.3,15.8,0.7106,27,5,2004,16,0,0,1059,1027,1066,1521,764
1872,1872,1872,27/05/2004 17:00,1872,-200,-200,20.2,-200,-200,29.4,21,0.8452,27,5,2004,17,0,0,1244,1301,842,1801,1170
1873,1873,1873,27/05/2004 18:00,1873,-200,-200,24.8,-200,-200,27,23.5,0.8256,27,5,2004,18,0,0,1320,1423,767,1986,1385
1874,1874,1874,27/05/2004 19:00,1874,-200,-200,20.3,-200,-200,25.8,26.7,0.8758,27,5,2004,19,0,0,1236,1304,822,1868,1237
1875,1875,1875,27/05/2004 20:00,1875,-200,-200,16.2,-200,-200,23.7,28.4,0.8225,27,5,2004,20,0,0,1136,1187,904,1735,1127
1876,1876,1876,27/05/2004 21:00,1876,-200,-200,13.3,-200,-200,21.3,33,0.8284,27,5,2004,21,0,0,1110,1093,961,1661,1091
1877,1877,1877,27/05/2004 22:00,1877,-200,-200,10.3,-200,-200,20.5,35.3,0.8435,27,5,2004,22,0,0,1026,990,1032,1553,972
1878,1878,1878,27/05/2004 23:00,1878,-200,-200,9.6,-200,-200,19.4,38.1,0.8511,27,5,2004,23,0,0,1038,961,1026,1530,949
1879,1879,1879,28/05/2004 0:00,1879,-200,-200,7.8,-200,-200,19.4,40.7,0.9045,28,5,2004,0,0,0,975,892,1015,1480,890
