MeasurementID,DateID,TimeID,ReadingID,CO_Concentration,NMHC_Concentration,Benzene_Concentration,NOx_Concentration,NO2_Concentration,Temperature,Relative_Humidity,Absolute_Humidity,Day,Month,Year,Hour,Minute,Second,PT08_S1,PT08_S2,PT08_S3,PT08_S4,PT08_S5
2508,2508,2508,2508,0.4,-200.0,2.2,30.0,40.0,21.7,46.8,1.2031,23.0,6.0,2004.0,5.0,0.0,0.0,768.0,597.0,1155.0,1396.0,606.0
2509,2509,2509,2509,1.0,-200.0,6.7,73.0,51.0,20.3,52.3,1.2367,23.0,6.0,2004.0,6.0,0.0,0.0,917.0,842.0,934.0,1656.0,819.0
2510,2510,2510,2510,3.8,-200.0,23.1,305.0,117.0,20.5,52.3,1.245,23.0,6.0,2004.0,7.0,0.0,0.0,1252.0,1380.0,579.0,2210.0,1462.0
2511,2511,2511,2511,3.2,-200.0,19.0,295.0,110.0,21.7,49.6,1.2673,23.0,6.0,2004.0,8.0,0.0,0.0,1224.0,1268.0,605.0,2046.0,1478.0
2512,2512,2512,2512,3.5,-200.0,20.1,331.0,136.0,24.0,43.1,1.2677,23.0,6.0,2004.0,9.0,0.0,0.0,1277.0,1300.0,608.0,2090.0,1598.0
2513,2513,2513,2513,3.2,-200.0,16.4,304.0,152.0,28.5,31.7,1.2144,23.0,6.0,2004.0,10.0,0.0,0.0,1149.0,1192.0,672.0,1944.0,1449.0
2514,2514,2514,2514,2.3,-200.0,13.0,210.0,119.0,32.2,25.1,1.189,23.0,6.0,2004.0,11.0,0.0,0.0,1091.0,1082.0,746.0,1790.0,1221.0
2515,2515,2515,2515,2.2,-200.0,13.1,163.0,106.0,34.9,20.5,1.1279,23.0,6.0,2004.0,12.0,0.0,0.0,1053.0,1087.0,763.0,1762.0,1023.0
2516,2516,2516,2516,2.1,-200.0,11.8,132.0,101.0,35.4,19.9,1.1222,23.0,6.0,2004.0,13.0,0.0,0.0,1023.0,1042.0,796.0,1711.0,910.0
2517,2517,2517,2517,1.9,-200.0,12.7,126.0,110.0,34.4,22.5,1.205,23.0,6.0,2004.0,14.0,0.0,0.0,1085.0,1075.0,767.0,1786.0,913.0
2518,2518,2518,2518,2.4,-200.0,14.1,150.0,124.0,34.8,22.8,1.2488,23.0,6.0,2004.0,15.0,0.0,0.0,1116.0,1120.0,724.0,1854.0,1035.0
2519,2519,2519,2519,2.5,-200.0,14.4,171.0,137.0,34.3,22.4,1.1907,23.0,6.0,2004.0,16.0,0.0,0.0,1111.0,1131.0,735.0,1825.0,1085.0
2520,2520,2520,2520,3.6,-200.0,20.7,234.0,159.0,32.5,25.3,1.2165,23.0,6.0,2004.0,17.0,0.0,0.0,1210.0,1316.0,645.0,2030.0,1278.0
2521,2521,2521,2521,3.9,-200.0,21.6,251.0,152.0,31.3,27.3,1.2234,23.0,6.0,2004.0,18.0,0.0,0.0,1250.0,1339.0,616.0,2075.0,1383.0
2522,2522,2522,2522,4.4,-200.0,24.2,294.0,166.0,30.2,29.0,1.2224,23.0,6.0,2004.0,19.0,0.0,0.0,1297.0,1408.0,595.0,2134.0,1473.0
2523,2523,2523,2523,4.8,-200.0,21.8,300.0,163.0,28.5,33.3,1.2775,23.0,6.0,2004.0,20.0,0.0,0.0,1313.0,1345.0,603.0,2118.0,1507.0
2524,2524,2524,2524,2.5,-200.0,13.0,159.0,121.0,27.3,35.3,1.2606,23.0,6.0,2004.0,21.0,0.0,0.0,1146.0,1084.0,713.0,1829.0,1215.0
2525,2525,2525,2525,2.8,-200.0,15.1,176.0,125.0,26.1,37.8,1.2575,23.0,6.0,2004.0,22.0,0.0,0.0,1199.0,1152.0,685.0,1897.0,1242.0
2526,2526,2526,2526,3.2,-200.0,16.6,192.0,120.0,24.7,47.1,1.44,23.0,6.0,2004.0,23.0,0.0,0.0,1274.0,1197.0,626.0,2023.0,1356.0
2527,2527,2527,2527,2.6,-200.0,12.7,152.0,103.0,23.6,59.8,1.7193,24.0,6.0,2004.0,0.0,0.0,0.0,1243.0,1072.0,675.0,1978.0,1195.0
2528,2528,2528,2528,1.5,-200.0,8.6,63.0,64.0,23.3,60.5,1.706,24.0,6.0,2004.0,1.0,0.0,0.0,1054.0,923.0,783.0,1793.0,899.0
2529,2529,2529,2529,1.0,-200.0,5.3,35.0,44.0,23.3,59.4,1.6753,24.0,6.0,2004.0,2.0,0.0,0.0,962.0,778.0,929.0,1645.0,726.0
2530,2530,2530,2530,0.8,-200.0,3.6,-200.0,-200.0,22.9,57.7,1.5902,24.0,6.0,2004.0,3.0,0.0,0.0,915.0,690.0,983.0,1570.0,743.0
2531,2531,2531,2531,0.6,-200.0,2.8,21.0,35.0,23.7,53.5,1.546,24.0,6.0,2004.0,4.0,0.0,0.0,871.0,639.0,1062.0,1528.0,684.0
2532,2532,2532,2532,0.6,-200.0,3.1,41.0,46.0,21.2,60.9,1.5092,24.0,6.0,2004.0,5.0,0.0,0.0,877.0,658.0,1047.0,1530.0,779.0
2533,2533,2533,2533,0.7,-200.0,3.7,48.0,54.0,22.1,56.2,1.48,24.0,6.0,2004.0,6.0,0.0,0.0,893.0,696.0,1008.0,1548.0,801.0
2534,2534,2534,2534,1.2,-200.0,6.9,102.0,68.0,21.9,57.0,1.4742,24.0,6.0,2004.0,7.0,0.0,0.0,1030.0,851.0,824.0,1700.0,983.0
2535,2535,2535,2535,1.5,-200.0,8.6,111.0,77.0,24.7,45.9,1.4061,24.0,6.0,2004.0,8.0,0.0,0.0,1059.0,926.0,783.0,1750.0,989.0
2536,2536,2536,2536,1.3,-200.0,7.1,93.0,74.0,27.0,40.8,1.4286,24.0,6.0,2004.0,9.0,0.0,0.0,1020.0,860.0,864.0,1649.0,875.0
2537,2537,2537,2537,1.6,-200.0,6.6,118.0,92.0,29.1,37.4,1.4833,24.0,6.0,2004.0,10.0,0.0,0.0,1045.0,840.0,879.0,1656.0,807.0
2538,2538,2538,2538,1.5,-200.0,7.2,93.0,83.0,31.1,32.4,1.4351,24.0,6.0,2004.0,11.0,0.0,0.0,1029.0,866.0,874.0,1651.0,727.0
2539,2539,2539,2539,1.2,-200.0,5.0,56.0,58.0,31.9,30.3,1.4125,24.0,6.0,2004.0,12.0,0.0,0.0,959.0,763.0,976.0,1561.0,549.0
2540,2540,2540,2540,1.1,-200.0,5.7,51.0,55.0,32.8,28.9,1.412,24.0,6.0,2004.0,13.0,0.0,0.0,975.0,798.0,939.0,1576.0,570.0
2541,2541,2541,2541,1.2,-200.0,6.0,52.0,61.0,33.4,27.8,1.4119,24.0,6.0,2004.0,14.0,0.0,0.0,988.0,813.0,927.0,1596.0,596.0
2542,2542,2542,2542,1.3,-200.0,6.1,59.0,65.0,35.3,23.7,1.3331,24.0,6.0,2004.0,15.0,0.0,0.0,971.0,818.0,942.0,1565.0,585.0
2543,2543,2543,2543,1.4,-200.0,8.0,62.0,74.0,35.8,22.4,1.2915,24.0,6.0,2004.0,16.0,0.0,0.0,999.0,899.0,869.0,1629.0,637.0
2544,2544,2544,2544,1.6,-200.0,7.8,85.0,89.0,35.3,20.8,1.1664,24.0,6.0,2004.0,17.0,0.0,0.0,989.0,889.0,889.0,1602.0,664.0
2545,2545,2545,2545,2.1,-200.0,11.1,109.0,103.0,33.3,23.9,1.2085,24.0,6.0,2004.0,18.0,0.0,0.0,1075.0,1020.0,802.0,1732.0,797.0
2546,2546,2546,2546,3.0,-200.0,15.9,168.0,128.0,30.3,30.8,1.3044,24.0,6.0,2004.0,19.0,0.0,0.0,1190.0,1177.0,695.0,1934.0,1046.0
2547,2547,2547,2547,2.8,-200.0,13.7,166.0,122.0,28.3,34.5,1.3084,24.0,6.0,2004.0,20.0,0.0,0.0,1172.0,1108.0,706.0,1878.0,1058.0
2548,2548,2548,2548,3.8,-200.0,21.6,149.0,125.0,27.1,38.9,1.3758,24.0,6.0,2004.0,21.0,0.0,0.0,1256.0,1340.0,594.0,2176.0,1214.0
2549,2549,2549,2549,3.2,-200.0,16.8,118.0,119.0,25.4,43.2,1.3805,24.0,6.0,2004.0,22.0,0.0,0.0,1190.0,1203.0,658.0,1967.0,1056.0
2550,2550,2550,2550,4.1,-200.0,20.5,160.0,126.0,24.6,45.3,1.3767,24.0,6.0,2004.0,23.0,0.0,0.0,1249.0,1310.0,601.0,2114.0,1280.0
2551,2551,2551,2551,2.6,-200.0,14.1,124.0,100.0,23.7,46.0,1.3346,25.0,6.0,2004.0,0.0,0.0,0.0,1072.0,1120.0,711.0,1838.0,1045.0
2552,2552,2552,2552,2.0,-200.0,10.9,95.0,94.0,23.0,48.1,1.3322,25.0,6.0,2004.0,1.0,0.0,0.0,1035.0,1011.0,750.0,1752.0,1039.0
2553,2553,2553,2553,0.9,-200.0,3.6,34.0,52.0,24.8,43.4,1.3366,25.0,6.0,2004.0,2.0,0.0,0.0,839.0,690.0,1030.0,1457.0,640.0
2554,2554,2554,2554,0.7,-200.0,3.3,-200.0,-200.0,23.1,47.4,1.3208,25.0,6.0,2004.0,3.0,0.0,0.0,833.0,671.0,1061.0,1482.0,705.0
2555,2555,2555,2555,0.6,-200.0,2.4,45.0,64.0,21.7,50.2,1.2917,25.0,6.0,2004.0,4.0,0.0,0.0,804.0,616.0,1144.0,1427.0,662.0
2556,2556,2556,2556,0.6,-200.0,3.0,35.0,46.0,21.9,50.7,1.3138,25.0,6.0,2004.0,5.0,0.0,0.0,811.0,651.0,1097.0,1442.0,579.0
2557,2557,2557,2557,1.6,-200.0,8.9,141.0,88.0,20.1,57.0,1.3216,25.0,6.0,2004.0,6.0,0.0,0.0,1028.0,934.0,818.0,1743.0,987.0
2558,2558,2558,2558,2.6,-200.0,14.8,199.0,104.0,21.5,51.8,1.3129,25.0,6.0,2004.0,7.0,0.0,0.0,1138.0,1141.0,671.0,1927.0,1197.0
2559,2559,2559,2559,2.9,-200.0,16.2,224.0,125.0,22.9,48.7,1.3416,25.0,6.0,2004.0,8.0,0.0,0.0,1203.0,1185.0,649.0,1968.0,1328.0
2560,2560,2560,2560,2.8,-200.0,14.6,245.0,151.0,25.7,41.0,1.3351,25.0,6.0,2004.0,9.0,0.0,0.0,1193.0,1136.0,667.0,1924.0,1370.0
2561,2561,2561,2561,1.9,-200.0,8.0,153.0,113.0,29.9,33.2,1.3793,25.0,6.0,2004.0,10.0,0.0,0.0,1049.0,898.0,858.0,1671.0,921.0
2562,2562,2562,2562,1.9,-200.0,9.1,145.0,102.0,32.9,28.0,1.3789,25.0,6.0,2004.0,11.0,0.0,0.0,1090.0,942.0,828.0,1713.0,876.0
2563,2563,2563,2563,2.1,-200.0,10.0,130.0,108.0,34.0,25.6,1.3363,25.0,6.0,2004.0,12.0,0.0,0.0,1070.0,976.0,808.0,1688.0,819.0
2564,2564,2564,2564,1.9,-200.0,9.8,95.0,93.0,34.7,22.6,1.2297,25.0,6.0,2004.0,13.0,0.0,0.0,1014.0,970.0,826.0,1684.0,763.0
2565,2565,2565,2565,1.6,-200.0,8.3,88.0,89.0,35.5,20.3,1.1586,25.0,6.0,2004.0,14.0,0.0,0.0,972.0,912.0,882.0,1596.0,675.0
2566,2566,2566,2566,1.6,-200.0,7.5,89.0,84.0,35.9,18.8,1.0912,25.0,6.0,2004.0,15.0,0.0,0.0,951.0,880.0,920.0,1539.0,637.0
2567,2567,2567,2567,2.1,-200.0,11.7,127.0,111.0,36.2,18.6,1.0945,25.0,6.0,2004.0,16.0,0.0,0.0,1033.0,1038.0,802.0,1690.0,826.0
2568,2568,2568,2568,2.4,-200.0,13.3,149.0,115.0,35.4,15.3,0.8613,25.0,6.0,2004.0,17.0,0.0,0.0,983.0,1094.0,817.0,1659.0,854.0
2569,2569,2569,2569,2.8,-200.0,14.4,170.0,127.0,32.9,15.5,0.7649,25.0,6.0,2004.0,18.0,0.0,0.0,973.0,1128.0,813.0,1642.0,894.0
2570,2570,2570,2570,3.4,-200.0,17.9,210.0,129.0,29.9,19.8,0.8211,25.0,6.0,2004.0,19.0,0.0,0.0,1083.0,1237.0,737.0,1786.0,1077.0
2571,2571,2571,2571,3.4,-200.0,15.9,230.0,140.0,28.1,22.4,0.8394,25.0,6.0,2004.0,20.0,0.0,0.0,1062.0,1176.0,763.0,1743.0,1121.0
2572,2572,2572,2572,2.7,-200.0,14.2,203.0,137.0,26.1,24.7,0.8233,25.0,6.0,2004.0,21.0,0.0,0.0,1011.0,1122.0,808.0,1680.0,1071.0
2573,2573,2573,2573,2.6,-200.0,13.8,174.0,130.0,25.0,28.7,0.8944,25.0,6.0,2004.0,22.0,0.0,0.0,1054.0,1110.0,765.0,1670.0,1167.0
2574,2574,2574,2574,2.3,-200.0,11.7,164.0,121.0,24.3,31.0,0.9268,25.0,6.0,2004.0,23.0,0.0,0.0,1013.0,1038.0,793.0,1598.0,1162.0
2575,2575,2575,2575,1.2,-200.0,6.2,76.0,79.0,24.0,31.2,0.919,26.0,6.0,2004.0,0.0,0.0,0.0,870.0,823.0,975.0,1398.0,848.0
2576,2576,2576,2576,1.0,-200.0,5.1,52.0,69.0,22.4,34.9,0.9362,26.0,6.0,2004.0,1.0,0.0,0.0,857.0,769.0,1006.0,1390.0,759.0
2577,2577,2577,2577,0.9,-200.0,4.5,47.0,61.0,21.2,37.6,0.9355,26.0,6.0,2004.0,2.0,0.0,0.0,835.0,739.0,1036.0,1382.0,694.0
2578,2578,2578,2578,1.1,-200.0,4.9,-200.0,-200.0,19.5,42.3,0.9461,26.0,6.0,2004.0,3.0,0.0,0.0,844.0,759.0,1005.0,1409.0,848.0
2579,2579,2579,2579,-200.0,-200.0,2.5,37.0,58.0,21.2,39.4,0.9802,26.0,6.0,2004.0,4.0,0.0,0.0,763.0,622.0,1129.0,1321.0,689.0
2580,2580,2580,2580,0.4,-200.0,2.3,41.0,58.0,19.5,42.4,0.9515,26.0,6.0,2004.0,5.0,0.0,0.0,769.0,606.0,1171.0,1314.0,610.0
2581,2581,2581,2581,0.9,-200.0,5.5,74.0,70.0,18.6,45.8,0.9723,26.0,6.0,2004.0,6.0,0.0,0.0,891.0,790.0,960.0,1466.0,816.0
2582,2582,2582,2582,1.8,-200.0,10.4,168.0,104.0,19.7,44.1,1.0039,26.0,6.0,2004.0,7.0,0.0,0.0,1037.0,993.0,779.0,1680.0,1158.0
2583,2583,2583,2583,2.2,-200.0,12.4,176.0,109.0,21.9,39.4,1.0243,26.0,6.0,2004.0,8.0,0.0,0.0,1090.0,1065.0,728.0,1773.0,1228.0
2584,2584,2584,2584,2.4,-200.0,14.0,184.0,129.0,24.5,34.3,1.0407,26.0,6.0,2004.0,9.0,0.0,0.0,1117.0,1118.0,716.0,1791.0,1323.0
2585,2585,2585,2585,2.3,-200.0,12.7,187.0,144.0,30.0,25.6,1.0674,26.0,6.0,2004.0,10.0,0.0,0.0,1109.0,1074.0,761.0,1734.0,1274.0
2586,2586,2586,2586,1.6,-200.0,9.0,118.0,101.0,34.5,18.9,1.0168,26.0,6.0,2004.0,11.0,0.0,0.0,961.0,939.0,912.0,1508.0,846.0
2587,2587,2587,2587,1.4,-200.0,8.5,89.0,90.0,36.3,17.5,1.0411,26.0,6.0,2004.0,12.0,0.0,0.0,985.0,919.0,918.0,1540.0,737.0
2588,2588,2588,2588,1.4,-200.0,8.2,70.0,86.0,37.7,16.0,1.0231,26.0,6.0,2004.0,13.0,0.0,0.0,960.0,909.0,910.0,1523.0,675.0
2589,2589,2589,2589,1.0,-200.0,5.9,51.0,69.0,38.3,15.8,1.0465,26.0,6.0,2004.0,14.0,0.0,0.0,927.0,806.0,1013.0,1446.0,559.0
2590,2590,2590,2590,1.0,-200.0,5.6,52.0,65.0,38.4,17.5,1.1609,26.0,6.0,2004.0,15.0,0.0,0.0,958.0,795.0,1002.0,1481.0,604.0
2591,2591,2591,2591,1.2,-200.0,6.7,70.0,73.0,37.2,20.5,1.2813,26.0,6.0,2004.0,16.0,0.0,0.0,1019.0,842.0,935.0,1565.0,729.0
2592,2592,2592,2592,1.3,-200.0,6.1,80.0,73.0,34.0,26.4,1.3781,26.0,6.0,2004.0,17.0,0.0,0.0,1010.0,816.0,955.0,1567.0,741.0
2593,2593,2593,2593,1.5,-200.0,6.7,90.0,78.0,32.3,30.4,1.445,26.0,6.0,2004.0,18.0,0.0,0.0,1030.0,844.0,917.0,1599.0,747.0
2594,2594,2594,2594,1.9,-200.0,9.2,111.0,98.0,30.5,33.9,1.4564,26.0,6.0,2004.0,19.0,0.0,0.0,1100.0,946.0,827.0,1726.0,932.0
2595,2595,2595,2595,1.8,-200.0,8.2,107.0,99.0,29.2,37.8,1.5098,26.0,6.0,2004.0,20.0,0.0,0.0,1079.0,909.0,861.0,1686.0,928.0
2596,2596,2596,2596,1.4,-200.0,7.0,73.0,83.0,28.4,39.1,1.4881,26.0,6.0,2004.0,21.0,0.0,0.0,1036.0,859.0,900.0,1645.0,860.0
2597,2597,2597,2597,1.7,-200.0,9.5,75.0,88.0,27.7,40.6,1.4828,26.0,6.0,2004.0,22.0,0.0,0.0,1085.0,959.0,827.0,1747.0,963.0
2598,2598,2598,2598,2.7,-200.0,15.1,144.0,117.0,27.2,42.5,1.5069,26.0,6.0,2004.0,23.0,0.0,0.0,1214.0,1151.0,683.0,1938.0,1309.0
2599,2599,2599,2599,2.1,-200.0,11.7,120.0,97.0,26.5,44.8,1.528,27.0,6.0,2004.0,0.0,0.0,0.0,1127.0,1041.0,728.0,1830.0,1266.0
2600,2600,2600,2600,1.4,-200.0,9.3,71.0,75.0,25.5,47.6,1.5318,27.0,6.0,2004.0,1.0,0.0,0.0,1038.0,950.0,776.0,1750.0,1181.0
2601,2601,2601,2601,1.0,-200.0,6.4,40.0,53.0,25.2,47.8,1.5076,27.0,6.0,2004.0,2.0,0.0,0.0,948.0,829.0,873.0,1638.0,937.0
2602,2602,2602,2602,1.0,-200.0,6.7,-200.0,-200.0,23.2,53.7,1.5046,27.0,6.0,2004.0,3.0,0.0,0.0,953.0,844.0,848.0,1685.0,995.0
2603,2603,2603,2603,0.8,-200.0,4.2,34.0,45.0,23.2,52.3,1.4668,27.0,6.0,2004.0,4.0,0.0,0.0,869.0,723.0,975.0,1522.0,789.0
2604,2604,2604,2604,0.5,-200.0,2.6,27.0,42.0,24.0,50.3,1.4811,27.0,6.0,2004.0,5.0,0.0,0.0,809.0,628.0,1127.0,1490.0,682.0
2605,2605,2605,2605,0.6,-200.0,2.8,30.0,44.0,23.5,51.2,1.4634,27.0,6.0,2004.0,6.0,0.0,0.0,833.0,641.0,1088.0,1496.0,717.0
2606,2606,2606,2606,0.6,-200.0,3.1,40.0,50.0,23.5,50.8,1.452,27.0,6.0,2004.0,7.0,0.0,0.0,857.0,661.0,1083.0,1511.0,696.0
2607,2607,2607,2607,1.0,-200.0,6.2,56.0,60.0,24.7,47.6,1.4597,27.0,6.0,2004.0,8.0,0.0,0.0,966.0,820.0,913.0,1634.0,807.0
2608,2608,2608,2608,1.6,-200.0,7.9,104.0,100.0,27.2,41.1,1.4611,27.0,6.0,2004.0,9.0,0.0,0.0,1063.0,894.0,823.0,1688.0,1025.0
2609,2609,2609,2609,1.9,-200.0,10.5,121.0,111.0,31.0,32.4,1.4294,27.0,6.0,2004.0,10.0,0.0,0.0,1110.0,996.0,782.0,1771.0,1090.0
2610,2610,2610,2610,1.7,-200.0,9.0,100.0,110.0,35.2,24.8,1.3854,27.0,6.0,2004.0,11.0,0.0,0.0,1055.0,941.0,844.0,1648.0,932.0
2611,2611,2611,2611,1.1,-200.0,6.3,59.0,74.0,37.8,18.5,1.1977,27.0,6.0,2004.0,12.0,0.0,0.0,939.0,828.0,991.0,1486.0,639.0
2612,2612,2612,2612,0.8,-200.0,3.5,42.0,56.0,39.0,15.1,1.0424,27.0,6.0,2004.0,13.0,0.0,0.0,816.0,684.0,1195.0,1285.0,467.0
2613,2613,2613,2613,0.7,-200.0,4.0,38.0,50.0,41.3,12.8,0.9933,27.0,6.0,2004.0,14.0,0.0,0.0,841.0,712.0,1175.0,1339.0,476.0
2614,2614,2614,2614,0.7,-200.0,4.2,40.0,54.0,41.8,11.9,0.9476,27.0,6.0,2004.0,15.0,0.0,0.0,842.0,722.0,1163.0,1294.0,490.0
2615,2615,2615,2615,1.2,-200.0,6.9,70.0,90.0,42.2,14.2,1.1609,27.0,6.0,2004.0,16.0,0.0,0.0,990.0,852.0,967.0,1488.0,669.0
2616,2616,2616,2616,1.6,-200.0,7.9,95.0,109.0,41.4,15.5,1.2089,27.0,6.0,2004.0,17.0,0.0,0.0,1042.0,894.0,916.0,1537.0,800.0
2617,2617,2617,2617,1.6,-200.0,7.9,90.0,110.0,38.9,21.4,1.4605,27.0,6.0,2004.0,18.0,0.0,0.0,1089.0,893.0,879.0,1609.0,791.0
2618,2618,2618,2618,1.7,-200.0,10.3,90.0,103.0,34.3,26.0,1.3865,27.0,6.0,2004.0,19.0,0.0,0.0,1102.0,990.0,799.0,1685.0,849.0
2619,2619,2619,2619,2.0,-200.0,10.5,111.0,120.0,32.7,27.7,1.3439,27.0,6.0,2004.0,20.0,0.0,0.0,1095.0,996.0,799.0,1695.0,934.0
2620,2620,2620,2620,2.3,-200.0,12.7,135.0,134.0,30.5,30.4,1.3031,27.0,6.0,2004.0,21.0,0.0,0.0,1116.0,1075.0,761.0,1784.0,1081.0
2621,2621,2621,2621,2.4,-200.0,11.9,146.0,137.0,29.0,33.6,1.3277,27.0,6.0,2004.0,22.0,0.0,0.0,1105.0,1046.0,777.0,1751.0,1102.0
2622,2622,2622,2622,1.7,-200.0,9.3,100.0,99.0,28.2,36.6,1.3781,27.0,6.0,2004.0,23.0,0.0,0.0,1018.0,950.0,830.0,1636.0,914.0
2623,2623,2623,2623,1.2,-200.0,7.9,69.0,78.0,27.2,38.9,1.3821,28.0,6.0,2004.0,0.0,0.0,0.0,991.0,896.0,857.0,1616.0,926.0
2624,2624,2624,2624,1.0,-200.0,5.0,47.0,63.0,26.7,40.0,1.3754,28.0,6.0,2004.0,1.0,0.0,0.0,923.0,765.0,952.0,1508.0,786.0
2625,2625,2625,2625,0.6,-200.0,3.4,26.0,41.0,26.0,41.2,1.3598,28.0,6.0,2004.0,2.0,0.0,0.0,874.0,679.0,1049.0,1444.0,619.0
2626,2626,2626,2626,0.5,-200.0,3.2,-200.0,-200.0,22.8,50.1,1.3677,28.0,6.0,2004.0,3.0,0.0,0.0,846.0,662.0,1068.0,1464.0,633.0
2627,2627,2627,2627,0.4,-200.0,2.7,24.0,39.0,24.0,46.6,1.37,28.0,6.0,2004.0,4.0,0.0,0.0,838.0,632.0,1079.0,1438.0,634.0
2628,2628,2628,2628,0.5,-200.0,3.1,55.0,60.0,24.0,46.4,1.3689,28.0,6.0,2004.0,5.0,0.0,0.0,827.0,656.0,1075.0,1447.0,722.0
2629,2629,2629,2629,0.7,-200.0,5.0,47.0,54.0,23.7,47.1,1.3602,28.0,6.0,2004.0,6.0,0.0,0.0,901.0,763.0,984.0,1552.0,717.0
2630,2630,2630,2630,3.2,-200.0,20.7,209.0,119.0,23.6,47.3,1.3634,28.0,6.0,2004.0,7.0,0.0,0.0,1291.0,1316.0,603.0,2172.0,1445.0
2631,2631,2631,2631,5.6,-200.0,32.4,348.0,159.0,25.5,43.1,1.3891,28.0,6.0,2004.0,8.0,0.0,0.0,1441.0,1606.0,503.0,2568.0,1786.0
2632,2632,2632,2632,4.6,-200.0,24.2,337.0,182.0,28.5,36.8,1.4128,28.0,6.0,2004.0,9.0,0.0,0.0,1363.0,1410.0,565.0,2199.0,1791.0
2633,2633,2633,2633,3.3,-200.0,16.6,280.0,183.0,32.6,28.0,1.3566,28.0,6.0,2004.0,10.0,0.0,0.0,1218.0,1198.0,671.0,1907.0,1413.0
2634,2634,2634,2634,2.1,-200.0,13.2,169.0,144.0,36.3,23.4,1.3902,28.0,6.0,2004.0,11.0,0.0,0.0,1132.0,1091.0,751.0,1795.0,1092.0
2635,2635,2635,2635,1.9,-200.0,12.3,126.0,118.0,37.5,21.5,1.3673,28.0,6.0,2004.0,12.0,0.0,0.0,1103.0,1060.0,770.0,1748.0,940.0
2636,2636,2636,2636,1.9,-200.0,12.1,108.0,106.0,39.6,19.0,1.3447,28.0,6.0,2004.0,13.0,0.0,0.0,1081.0,1053.0,770.0,1773.0,883.0
2637,2637,2637,2637,1.6,-200.0,11.1,93.0,97.0,40.1,19.3,1.4013,28.0,6.0,2004.0,14.0,0.0,0.0,1079.0,1018.0,793.0,1739.0,850.0
2638,2638,2638,2638,2.0,-200.0,13.1,112.0,129.0,40.4,20.0,1.4854,28.0,6.0,2004.0,15.0,0.0,0.0,1167.0,1087.0,741.0,1820.0,928.0
2639,2639,2639,2639,1.8,-200.0,11.6,110.0,130.0,39.9,20.1,1.4495,28.0,6.0,2004.0,16.0,0.0,0.0,1148.0,1037.0,772.0,1720.0,835.0
2640,2640,2640,2640,2.9,-200.0,17.7,188.0,163.0,39.1,19.6,1.3542,28.0,6.0,2004.0,17.0,0.0,0.0,1221.0,1230.0,670.0,1905.0,1157.0
2641,2641,2641,2641,3.4,-200.0,19.5,203.0,160.0,37.0,21.9,1.3503,28.0,6.0,2004.0,18.0,0.0,0.0,1255.0,1283.0,640.0,2023.0,1232.0
2642,2642,2642,2642,3.1,-200.0,19.7,167.0,140.0,33.9,26.8,1.3899,28.0,6.0,2004.0,19.0,0.0,0.0,1245.0,1287.0,635.0,2067.0,1288.0
2643,2643,2643,2643,2.5,-200.0,15.1,116.0,115.0,31.9,30.6,1.4201,28.0,6.0,2004.0,20.0,0.0,0.0,1162.0,1151.0,687.0,1912.0,1143.0
2644,2644,2644,2644,1.8,-200.0,11.1,89.0,92.0,29.7,33.9,1.3874,28.0,6.0,2004.0,21.0,0.0,0.0,1079.0,1020.0,754.0,1760.0,1014.0
2645,2645,2645,2645,1.8,-200.0,11.7,103.0,99.0,28.6,36.8,1.416,28.0,6.0,2004.0,22.0,0.0,0.0,1091.0,1038.0,744.0,1786.0,1088.0
2646,2646,2646,2646,2.0,-200.0,11.7,100.0,96.0,27.8,38.7,1.4187,28.0,6.0,2004.0,23.0,0.0,0.0,1085.0,1039.0,745.0,1790.0,1092.0
2647,2647,2647,2647,1.5,-200.0,9.7,86.0,80.0,27.8,40.0,1.4691,29.0,6.0,2004.0,0.0,0.0,0.0,1050.0,966.0,780.0,1748.0,1090.0
2648,2648,2648,2648,0.8,-200.0,6.0,52.0,65.0,27.5,41.3,1.4962,29.0,6.0,2004.0,1.0,0.0,0.0,941.0,814.0,873.0,1592.0,979.0
2649,2649,2649,2649,0.4,-200.0,3.9,27.0,46.0,27.3,41.6,1.4906,29.0,6.0,2004.0,2.0,0.0,0.0,891.0,705.0,980.0,1534.0,806.0
2650,2650,2650,2650,0.3,-200.0,2.6,-200.0,-200.0,26.0,44.2,1.4657,29.0,6.0,2004.0,3.0,0.0,0.0,842.0,624.0,1080.0,1480.0,712.0
2651,2651,2651,2651,-200.0,-200.0,2.8,35.0,57.0,24.8,48.0,1.4857,29.0,6.0,2004.0,4.0,0.0,0.0,850.0,639.0,1048.0,1519.0,853.0
2652,2652,2652,2652,0.5,-200.0,3.0,42.0,54.0,25.9,45.1,1.4889,29.0,6.0,2004.0,5.0,0.0,0.0,863.0,652.0,1055.0,1504.0,816.0
2653,2653,2653,2653,0.7,-200.0,5.4,57.0,62.0,25.3,47.6,1.5108,29.0,6.0,2004.0,6.0,0.0,0.0,956.0,784.0,928.0,1634.0,934.0
2654,2654,2654,2654,3.4,-200.0,23.5,228.0,102.0,24.7,49.5,1.5201,29.0,6.0,2004.0,7.0,0.0,0.0,1384.0,1391.0,552.0,2316.0,1548.0
